"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.117860657E1,-2.855235577E0,-6.203392506E0,-4.366302967E0,8.105495073E0
2.118108011E1,-2.941975355E0,-6.270989895E0,-4.299304008E0,8.152579237E0
2.118355370E1,-3.013760090E0,-6.314060688E0,-4.328018188E0,8.226898182E0
2.118602725E1,-3.080759048E0,-6.333203316E0,-4.299304008E0,8.251336589E0
2.118850089E1,-3.061616659E0,-6.342774391E0,-4.275375843E0,8.239121443E0
2.119097443E1,-3.056830883E0,-6.347560406E0,-4.265804768E0,8.236068751E0
2.119344803E1,-3.152543783E0,-6.347560406E0,-4.241876125E0,8.259755957E0
2.119592162E1,-3.166900873E0,-6.323632240E0,-4.194019794E0,8.222371184E0
2.119839522E1,-3.142972469E0,-6.275775433E0,-4.179663181E0,8.169040184E0
2.120086876E1,-3.114258766E0,-6.227321148E0,-4.194019794E0,8.128218647E0
2.120334235E1,-3.166900873E0,-6.179464340E0,-4.241876125E0,8.136863876E0
2.120581594E1,-3.152543783E0,-6.107679844E0,-4.270590305E0,8.091985352E0
2.120828948E1,-3.071187973E0,-6.064609051E0,-4.323232174E0,8.056178681E0
2.121076303E1,-3.056830883E0,-6.011966705E0,-4.423730850E0,8.065813868E0
2.121323662E1,-3.071187973E0,-5.940182209E0,-4.505086899E0,8.063111571E0
2.121571022E1,-3.008974552E0,-5.887540340E0,-4.514657974E0,8.006197333E0
2.121818381E1,-2.946761131E0,-5.810969830E0,-4.557728767E0,7.951330898E0
2.122065735E1,-2.908475876E0,-5.787041664E0,-4.639084816E0,7.966818127E0
2.122313094E1,-2.865405083E0,-5.767899036E0,-4.615156651E0,7.923312217E0
2.122560448E1,-2.831307411E0,-5.672185898E0,-4.586442947E0,7.824669541E0
2.122807808E1,-2.826521635E0,-5.653043270E0,-4.619942188E0,7.828792282E0
2.123055162E1,-2.788236618E0,-5.605186939E0,-4.658227444E0,7.803298468E0
2.123302522E1,-2.773879766E0,-5.581258774E0,-4.677370071E0,7.792473885E0
2.123549881E1,-2.749951363E0,-5.576473236E0,-4.701298237E0,7.794965770E0
2.123797240E1,-2.749951363E0,-5.566901684E0,-4.715655327E0,7.796796266E0
2.124044594E1,-2.754737139E0,-5.576473236E0,-4.739583492E0,7.819800646E0
2.124291954E1,-2.726023197E0,-5.552545071E0,-4.734797955E0,7.789754226E0
2.124539308E1,-2.730808735E0,-5.562116146E0,-4.739583492E0,7.801160430E0
2.124786672E1,-2.764308453E0,-5.586044312E0,-4.701298237E0,7.806887817E0
2.125034027E1,-2.740380049E0,-5.547759533E0,-4.706083775E0,7.773965728E0
2.125281386E1,-2.759522676E0,-5.566901684E0,-4.667798996E0,7.771338831E0
2.125528745E1,-2.745165825E0,-5.571687698E0,-4.619942188E0,7.741027389E0
2.125776105E1,-2.682952404E0,-5.619544029E0,-4.586442947E0,7.733884380E0
2.126023459E1,-2.659024239E0,-5.653043270E0,-4.562514782E0,7.735880638E0
2.126270818E1,-2.668595552E0,-5.681757450E0,-4.519443989E0,7.734930117E0
2.126518178E1,-2.649452925E0,-5.672185898E0,-4.490729809E0,7.704540731E0
2.126765532E1,-2.635095835E0,-5.705685616E0,-4.447659016E0,7.699366800E0
2.127012886E1,-2.644667149E0,-5.734399319E0,-4.433301926E0,7.715683109E0
2.127260245E1,-2.625524759E0,-5.777470112E0,-4.404588223E0,7.724826119E0
2.127507605E1,-2.654238462E0,-5.782256126E0,-4.375874519E0,7.721900384E0
2.127754964E1,-2.625524759E0,-5.810969830E0,-4.404588223E0,7.749912776E0
2.128002318E1,-2.673381090E0,-5.806184292E0,-4.342374802E0,7.727545626E0
2.128249678E1,-2.687737942E0,-5.863611698E0,-4.390231133E0,7.802564116E0
2.128497032E1,-2.682952404E0,-5.911468506E0,-4.414159775E0,7.850382157E0
2.128744396E1,-2.673381090E0,-5.940182209E0,-4.414159775E0,7.868769767E0
2.128991751E1,-2.678166628E0,-5.964110374E0,-4.490729809E0,7.931572559E0
2.129239110E1,-2.716451883E0,-5.997610092E0,-4.524229527E0,7.988685152E0
2.129486469E1,-2.726023197E0,-6.007181168E0,-4.572085857E0,8.026294110E0
2.129733829E1,-2.749951363E0,-6.035895348E0,-4.667798996E0,8.110648101E0
2.129981183E1,-2.769093990E0,-6.059823513E0,-4.753940582E0,8.184698748E0
2.130228542E1,-2.855235577E0,-6.083751678E0,-4.787439823E0,8.251302003E0
2.130475902E1,-2.870190859E0,-6.102894306E0,-4.887938499E0,8.329181067E0
2.130723256E1,-2.884547710E0,-6.141179085E0,-4.945366383E0,8.395912381E0
2.130970610E1,-2.946761131E0,-6.179464340E0,-5.012963295E0,8.485221370E0
2.131217969E1,-2.946761131E0,-6.198606968E0,-5.123033047E0,8.564554694E0
2.131465329E1,-3.018545866E0,-6.266204357E0,-5.223531723E0,8.698403293E0
2.131712688E1,-3.119044304E0,-6.314060688E0,-5.338387489E0,8.837091192E0
2.131960042E1,-3.171686411E0,-6.409773827E0,-5.381458282E0,8.950133432E0
2.132207402E1,-3.224328518E0,-6.505486488E0,-5.467599869E0,9.089130716E0
2.132454761E1,-3.320041418E0,-6.567699909E0,-5.568098068E0,9.228275744E0
2.132702115E1,-3.377469063E0,-6.658627033E0,-5.668596745E0,9.374305323E0
2.132949469E1,-3.406183004E0,-6.792625427E0,-5.749952793E0,9.529102790E0
2.133196829E1,-3.468396425E0,-6.945765972E0,-5.802595139E0,9.692448042E0
2.133444188E1,-3.415754318E0,-7.027122021E0,-5.888736725E0,9.783917501E0
2.133691548E1,-3.449253798E0,-7.146762848E0,-5.979663849E0,9.936294617E0
2.133938902E1,-3.482753277E0,-7.290930748E0,-6.042475224E0,1.008953658E1
2.134186261E1,-3.454039574E0,-7.444071293E0,-6.085546017E0,1.021657756E1
2.134433615E1,-3.454039574E0,-7.525427341E0,-6.147759438E0,1.031297203E1
2.134680980E1,-3.396611691E0,-7.645068169E0,-6.171687603E0,1.039585332E1
2.134928334E1,-3.372683525E0,-7.740781307E0,-6.195616245E0,1.047283868E1
2.135175693E1,-3.305684566E0,-7.817351341E0,-6.195616245E0,1.050829164E1
2.135423053E1,-3.224328518E0,-7.869993687E0,-6.248258114E0,1.055337977E1
2.135670412E1,-3.209971666E0,-7.903493404E0,-6.181259155E0,1.053456648E1
2.135917766E1,-3.114258766E0,-7.970492363E0,-6.205187321E0,1.057032194E1
2.136165126E1,-3.047259569E0,-8.018348694E0,-6.229115486E0,1.060101818E1
2.136412485E1,-3.023331404E0,-8.061419487E0,-6.219544411E0,1.062119342E1
2.136659839E1,-2.946761131E0,-8.061419487E0,-6.276971817E0,1.063345008E1
2.136907193E1,-2.870190859E0,-8.171489716E0,-6.286543369E0,1.070195624E1
2.137154553E1,-2.783450842E0,-8.200202942E0,-6.300900459E0,1.070944786E1
2.137401912E1,-2.668595552E0,-8.185846329E0,-6.281757832E0,1.065785925E1
2.137649272E1,-2.582453728E0,-8.209774017E0,-6.209972858E0,1.061287989E1
2.137896626E1,-2.529811859E0,-8.252845764E0,-6.162116528E0,1.060571032E1
2.138143985E1,-2.338385820E0,-8.252845764E0,-6.090332031E0,1.051996462E1
2.138391339E1,-2.223530531E0,-8.238488197E0,-6.023332596E0,1.044496584E1
2.138638698E1,-2.108675003E0,-8.243273735E0,-6.023332596E0,1.042490325E1
2.138886053E1,-1.965105653E0,-8.286344528E0,-5.974878311E0,1.040309169E1
2.139133412E1,-1.926820397E0,-8.224131584E0,-5.984449387E0,1.035193758E1
2.139380772E1,-1.806581140E0,-8.166703224E0,-6.018547058E0,1.030444980E1
2.139628131E1,-1.734796405E0,-8.137989998E0,-6.037689686E0,1.028056888E1
2.139875485E1,-1.720439434E0,-8.075776100E0,-5.994618893E0,1.020360363E1
2.140122844E1,-1.667797327E0,-8.047062874E0,-5.965306759E0,1.015488324E1
2.140370198E1,-1.667797327E0,-8.085348129E0,-5.931807518E0,1.016566489E1
2.140617563E1,-1.715653777E0,-8.123632431E0,-5.974878311E0,1.022917605E1
2.140864917E1,-1.773081541E0,-8.262416840E0,-6.114260197E0,1.043050948E1
2.141112277E1,-1.888535261E0,-8.377870560E0,-6.248258114E0,1.062054660E1
2.141359636E1,-2.012962103E0,-8.554939270E0,-6.492326260E0,1.092654120E1
2.141606995E1,-2.185245275E0,-8.741579056E0,-6.707680225E0,1.123314183E1
2.141854350E1,-2.367099762E0,-8.980861664E0,-6.913462639E0,1.157821243E1
2.142101709E1,-2.529811859E0,-9.263215065E0,-7.067201614E0,1.192276981E1
2.142349068E1,-2.721237659E0,-9.522237778E0,-7.162914753E0,1.222233588E1
2.142596422E1,-2.874976397E0,-9.751948357E0,-7.306483746E0,1.252001161E1
2.142843777E1,-2.994617462E0,-9.996016502E0,-7.416553974E0,1.280208391E1
2.143091136E1,-3.114258766E0,-1.025922680E1,-7.483552933E0,1.307493429E1
2.143338495E1,-3.296113253E0,-1.047996521E1,-7.517052174E0,1.331165304E1
2.143585855E1,-3.396611691E0,-1.062831974E1,-7.493124008E0,1.344042629E1
2.143833209E1,-3.492324591E0,-1.074796104E1,-7.411767960E0,1.351478087E1
2.144080568E1,-3.664607763E0,-1.083410263E1,-7.268198967E0,1.355115663E1
2.144327922E1,-3.741178274E0,-1.081017494E1,-7.062416077E0,1.344373527E1
2.144575282E1,-3.856033802E0,-1.071446133E1,-6.765107632E0,1.324520138E1
2.144822636E1,-3.899104595E0,-1.054217815E1,-6.501897335E0,1.298519179E1
2.145069995E1,-3.952344894E0,-1.030229759E1,-6.176473618E0,1.264544156E1
2.145317355E1,-3.942773581E0,-1.006301594E1,-5.955735683E0,1.234020019E1
2.145564714E1,-3.899104595E0,-9.804591179E0,-5.826523304E0,1.205327336E1
2.145812068E1,-3.947559118E0,-9.617950439E0,-5.716453075E0,1.186448606E1
2.146059428E1,-3.899104595E0,-9.426525116E0,-5.635097504E0,1.165404292E1
2.146306782E1,-3.884747505E0,-9.349356651E0,-5.615954876E0,1.157759397E1
2.146554146E1,-3.865604877E0,-9.248857498E0,-5.687739372E0,1.152539133E1
2.146801501E1,-3.904488325E0,-9.220144272E0,-5.821737289E0,1.158225861E1
2.147048860E1,-3.875176191E0,-9.301499367E0,-5.994618893E0,1.172477448E1
2.147296219E1,-3.904488325E0,-9.364311218E0,-6.224329948E0,1.190284155E1
2.147543579E1,-3.928416491E0,-9.503094673E0,-6.434898376E0,1.213050624E1
2.147790933E1,-3.947559118E0,-9.646664619E0,-6.674180508E0,1.237683508E1
2.148038292E1,-3.923630953E0,-9.780662537E0,-6.908677101E0,1.260103404E1
2.148285652E1,-3.928416491E0,-9.881160736E0,-7.043273449E0,1.275450879E1
2.148533006E1,-3.918845177E0,-9.943374634E0,-7.110272408E0,1.283682283E1
2.148780360E1,-3.860819340E0,-1.000558758E1,-7.115057945E0,1.287018874E1
2.149027719E1,-3.812962770E0,-1.007258701E1,-7.081558704E0,1.288969231E1
2.149275079E1,-3.745963812E0,-1.007258701E1,-6.994818687E0,1.282250921E1
2.149522438E1,-3.655036688E0,-1.012522888E1,-6.832107067E0,1.274979373E1
2.149769792E1,-3.611965895E0,-1.019222832E1,-6.693323135E0,1.271724775E1
2.150017152E1,-3.549752474E0,-1.026879883E1,-6.559325218E0,1.269148216E1
2.150264506E1,-3.463610888E0,-1.033579731E1,-6.449255466E0,1.266563076E1
2.150511865E1,-3.372683525E0,-1.039801121E1,-6.320042610E0,1.262681947E1
2.150759219E1,-3.233899832E0,-1.048953629E1,-6.229115486E0,1.262102846E1
2.151006579E1,-3.138186932E0,-1.057567787E1,-6.090332031E0,1.260100488E1
2.151253938E1,-2.965903759E0,-1.064746284E1,-5.931807518E0,1.254397826E1
2.151501298E1,-2.783450842E0,-1.065703392E1,-5.764309883E0,1.243170298E1
2.151748652E1,-2.625524759E0,-1.066660500E1,-5.659025669E0,1.235695812E1
2.151996011E1,-2.462812662E0,-1.063789082E1,-5.539384365E0,1.224397592E1
2.152243365E1,-2.391027927E0,-1.057089233E1,-5.419743061E0,1.211752426E1
2.152490725E1,-2.247458696E0,-1.051346493E1,-5.391029358E0,1.202693697E1
2.152738079E1,-2.127817631E0,-1.047039413E1,-5.343173027E0,1.194597251E1
2.152985438E1,-2.065604210E0,-1.035015392E1,-5.319244862E0,1.181891589E1
2.153232798E1,-1.912463546E0,-1.028315544E1,-5.209175110E0,1.168487518E1
2.153480157E1,-1.811366796E0,-1.033101177E1,-5.075176716E0,1.165196432E1
2.153727511E1,-1.763510346E0,-1.030229759E1,-4.950151920E0,1.156509008E1
2.153974870E1,-1.720439434E0,-1.020179939E1,-5.094319344E0,1.153207320E1
2.154222225E1,-1.624726534E0,-1.020658493E1,-5.405386448E0,1.166328920E1
2.154469589E1,-1.600798368E0,-1.032622623E1,-5.563312531E0,1.183824100E1
2.154716943E1,-1.629512191E0,-1.037886810E1,-5.649454117E0,1.192864388E1
2.154964303E1,-1.648654819E0,-1.039801121E1,-5.740381718E0,1.199119185E1
2.155211662E1,-1.615155339E0,-1.051346493E1,-5.615954876E0,1.202832577E1
2.155459022E1,-1.691725612E0,-1.055653572E1,-5.520241737E0,1.203226707E1
2.155706376E1,-1.730010748E0,-1.055174923E1,-5.558526993E0,1.205112324E1
2.155953735E1,-1.763510346E0,-1.064746284E1,-5.615954876E0,1.216623947E1
